thesis,pub date is,date,source URL is,URL
Q98853409,P577,+2020-01-01T00:00:00Z/10,S854,"""https://digital.lib.washington.edu/researchworks/handle/1773/45538"""
Q90913850,P578,+2019-05-01T00:00:00Z/10,S854,"""https://uh-ir.tdl.org/bitstream/handle/10657/4647/JACOBS-DISSERTATION-2019.pdf?sequence=1&isAllowed=y"""
Q89943967,P579,+2019-01-01T00:00:00Z/10,S854,"""http://etheses.whiterose.ac.uk/24881/"""
Q64878260,P580,+2018-07-01T00:00:00Z/10,S854,"""https://dspace.stir.ac.uk/handle/1893/29556"""
Q56496498,P581,+2018-06-29T00:00:00Z/10,S854,"""https://lra.le.ac.uk/handle/2381/42815"""
Q60478427,P582,+2018-05-11T00:00:00Z/10,S854,"""https://lra.le.ac.uk/handle/2381/42491"""
Q97290554,P583,+2018-02-09T00:00:00Z/10,S854,"""https://ore.exeter.ac.uk/repository/handle/10871/33594"""
Q61726918,P584,+2018-01-01T00:00:00Z/10,S854,"""http://bora.uib.no/bitstream/handle/1956/18896/H%C3%A5kon%20Steinar%20Fiane%20Teigen_Elektronisk.pdf?sequence=1"""
Q59684835,P585,+2018-01-01T00:00:00Z/10,S854,"""https://researchbank.acu.edu.au/theses/702/"""
Q83277621,P586,+2018-01-01T00:00:00Z/10,S854,"""http://e-space.mmu.ac.uk/622985/"""
Q55031615,P587,+2017-10-01T00:00:00Z/10,S854,"""https://ore.exeter.ac.uk/repository/handle/10871/33181"""
Q55031615,P588,+2017-10-01T00:00:00Z/10,S854,"""https://ore.exeter.ac.uk/repository/handle/10871/33181"""
Q70438884,P589,+2017-03-01T00:00:00Z/10,S854,"""https://ore.exeter.ac.uk/repository/bitstream/handle/10871/30082/StoneD.pdf"""
Q47485617,P590,+2017-01-01T00:00:00Z/10,S854,"""http://paduaresearch.cab.unipd.it/10191/"""
Q47485641,P591,+2017-01-01T00:00:00Z/10,S854,"""http://oro.open.ac.uk/49435/"""
Q47485619,P592,+2017-01-01T00:00:00Z/10,S854,"""https://discovery.ucl.ac.uk/id/eprint/1542261/"""
Q59390911,P593,+2017-01-01T00:00:00Z/10,S854,"""http://orca.cf.ac.uk/109080/"""
Q61917258,P594,+2017-01-01T00:00:00Z/10,S854,"""http://hdl.handle.net/1887/49229"""
Q59684863,P595,+2017-01-01T00:00:00Z/10,S854,"""http://orca-mwe.cf.ac.uk/100823/1/2017mcavoyiphd.pdf"""
Q85306891,P596,+2017-01-01T00:00:00Z/10,S854,"""https://www.repository.cam.ac.uk/handle/1810/263608"""
Q60478250,P597,+2016-12-20T00:00:00Z/10,S854,"""https://lra.le.ac.uk/handle/2381/39092"""
Q59282653,P598,+2016-11-01T00:00:00Z/10,S854,"""https://ore.exeter.ac.uk/repository/handle/10871/27783"""
Q28865381,P599,+2016-01-01T00:00:00Z/10,S854,"""https://ora.ox.ac.uk/objects/uuid:54cb694e-e374-45c0-b87c-53a55cf29ce1"""
Q28865511,P600,+2016-01-01T00:00:00Z/10,S854,"""https://ora.ox.ac.uk/objects/uuid:279871ea-3b2e-4baf-975c-1bd42b4961c3"""
Q28866536,P601,+2016-01-01T00:00:00Z/10,S854,"""https://ora.ox.ac.uk/objects/uuid:1560ec7f-15cb-4c2d-b55d-2ac2bc653dfd"""
Q28866913,P602,+2016-01-01T00:00:00Z/10,S854,"""https://ora.ox.ac.uk/objects/uuid:356e771a-fd54-4ad1-8d1c-aa8c2efbf6a4"""
